resource_id,title,fields,granularity,months,years,start_year,end_year,year_span,duration_type,region,category
fe9af2ce-cd78-4c03-bdfd-75f579b2edfe,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during June 1981,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['june'],[1981],1981,1981,1,specific_month,,rainfall
d5aeeea1-fb95-489d-9fb3-1a0f6792e35a,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during June 1981,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['june'],[1981],1981,1981,1,specific_month,sub-basin,rainfall
79472429-98ab-43a2-894b-18e06647f31d,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during July 1981,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['july'],[1981],1981,1981,1,specific_month,sub-basin,rainfall
b7315fe7-90b0-4a82-b05a-dde826e29d06,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during July 1981,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['july'],[1981],1981,1981,1,specific_month,,rainfall
606378a1-6996-47a9-98b0-b9dfdd6c9051,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during September 1981,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['september'],[1981],1981,1981,1,specific_month,,rainfall
e421db09-9777-4ccb-bd06-5dd3ae7681d5,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during August 1981,"['document_id', '_state_', 'district', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['august'],[1981],1981,1981,1,specific_month,,rainfall
171a7b1d-e512-45d0-b78d-1a79386dccb4,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during August 1981,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['august'],[1981],1981,1981,1,specific_month,sub-basin,rainfall
c9d23fc6-186b-4503-9a3e-bba4f061e80e,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during October 1981,"['document_id', '_state_', 'district', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['october'],[1981],1981,1981,1,specific_month,,rainfall
abd63769-6eb7-46df-a629-0348807088b8,Daily Sub-basin-wise Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during September 1981,"['document_id', '_basin_', 'subbasin', 'date', 'year', 'month_', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['september'],[1981],1981,1981,1,specific_month,sub-basin,rainfall
e2bad8e0-e713-4702-8a0c-72c037618bf5,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during November 1981,"['document_id', '_state_', 'district', 'date', 'year', 'month', 'avg_rainfall', 'agency_name', 'resource_uuid']",daily,['november'],[1981],1981,1981,1,specific_month,,rainfall
